ConsumerRating,SellerRating,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,DealType,ID_Rating
4.7,3.7,4.7,4.6,4.6,4.6,4.8,4.6,Great,52
5.0,4.8,5.0,5.0,5.0,5.0,5.0,5.0,Great,53
4.8,3.6,4.9,4.8,4.9,4.6,4.9,4.7,Great,54
5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,Good,55
4.8,4.6,5.0,4.9,5.0,4.5,4.9,4.7,Good,56
4.5,4.5,4.7,4.5,4.5,4.4,4.6,4.5,Good,57
4.8,3.3,4.8,4.8,4.7,4.8,4.8,4.8,Good,58
4.8,3.9,4.9,4.9,4.8,4.8,4.9,4.9,Good,59
4.8,4.7,4.8,4.7,4.8,4.7,4.7,4.8,Fair,60
4.7,4.9,4.8,4.7,4.8,4.6,4.7,4.7,Not Specified,61
4.2,4.9,4.2,4.0,4.8,3.8,4.2,4.4,Not Specified,62
4.6,3.5,4.7,4.6,4.4,4.5,4.6,4.6,Not Specified,63
4.6,4.7,4.8,4.7,4.5,4.5,4.7,4.6,Great,64
4.6,4.0,4.8,4.7,4.5,4.5,4.7,4.6,Great,65
4.9,4.9,4.9,4.8,4.9,4.8,4.8,5.0,Fair,66
4.8,5.0,4.9,4.8,4.9,4.5,4.9,4.9,Good,67
4.5,4.7,4.6,4.5,4.4,4.4,4.6,4.6,Good,68
4.8,4.4,4.9,4.8,4.8,4.6,4.9,4.8,Not Specified,69
4.5,3.7,4.6,4.7,4.7,4.2,4.7,4.1,Not Specified,70
4.8,4.7,4.9,4.8,4.7,4.8,4.9,4.9,Good,71
4.8,4.1,4.9,4.8,4.7,4.8,4.9,4.9,Great,72
5.0,4.7,5.0,5.0,5.0,4.5,5.0,5.0,Fair,73
4.6,4.9,5.0,4.8,4.4,4.4,4.7,4.3,Great,74
4.8,4.9,4.9,4.8,4.7,4.8,4.9,4.9,Good,75
4.8,4.4,4.8,4.7,4.7,4.7,4.8,4.8,Great,76
4.9,4.7,5.0,4.9,4.9,4.7,4.9,4.9,Good,77
4.8,4.3,4.8,4.9,4.9,4.5,4.6,4.9,Great,78
3.8,3.7,4.0,4.2,3.6,3.2,4.3,3.1,Not Specified,79
4.6,4.6,5.0,4.8,4.4,4.4,4.7,4.3,Great,80
4.9,3.1,5.0,4.9,4.9,4.8,4.9,5.0,Great,81
5.0,4.6,5.0,5.0,5.0,4.7,5.0,4.9,Great,82
4.9,4.8,5.0,4.9,4.9,4.8,4.9,5.0,Great,83
5.0,3.7,5.0,4.9,4.9,5.0,4.9,5.0,Fair,84
4.3,3.4,4.6,4.6,4.2,4.0,4.6,4.1,Great,85
4.1,3.2,4.6,4.7,4.1,4.0,4.5,3.3,Fair,86
4.8,5.0,4.8,4.8,4.8,4.8,4.9,4.9,Good,87
4.8,4.7,4.9,4.8,4.8,4.6,4.8,4.8,Good,88
4.7,3.3,4.7,4.7,4.6,4.7,4.8,4.8,Good,89
4.8,4.2,4.9,4.8,4.8,4.8,4.8,4.8,Not Specified,90
4.8,2.2,4.8,4.8,4.6,4.8,4.9,4.9,Good,91
4.8,4.7,4.8,4.8,4.6,4.8,4.9,4.9,Fair,92
4.9,4.9,5.0,4.9,4.8,4.9,4.9,4.9,Good,93
4.6,4.7,4.7,4.6,4.7,4.4,4.7,4.6,Great,94
4.7,4.7,4.8,4.6,4.7,4.5,4.7,4.7,Good,95
4.7,3.8,4.8,4.6,4.7,4.5,4.7,4.7,Good,96
4.7,3.9,4.7,4.7,4.5,4.5,4.9,4.6,Good,97
4.9,5.0,4.7,4.7,5.0,4.8,4.9,5.0,Good,98
4.9,3.2,4.9,4.8,4.9,4.8,5.0,4.8,Great,99
4.7,3.8,4.6,4.6,4.7,4.7,4.8,4.7,Good,100
4.7,3.2,4.7,4.6,4.7,4.7,4.7,4.8,Fair,101
4.8,3.8,4.6,4.6,4.9,4.7,4.9,4.8,Great,102
4.7,4.9,4.7,4.7,4.6,4.7,4.8,4.7,Great,103
4.6,1.0,4.8,4.7,4.6,4.5,4.7,4.6,Good,104
4.8,4.9,4.8,4.7,4.7,4.7,4.8,4.8,Fair,105
4.7,4.8,4.9,4.8,4.6,4.5,4.8,4.6,Great,106
4.9,2.0,4.9,4.8,4.9,4.7,4.9,4.8,Great,107
4.9,4.4,4.9,4.9,5.0,4.6,5.0,4.8,Good,108
4.8,4.7,4.9,4.7,4.8,4.9,4.9,4.9,Good,109
4.5,4.4,4.6,4.7,4.5,4.3,4.8,4.4,Good,110
4.9,4.3,4.8,4.8,4.9,4.8,4.9,4.9,Great,111
4.7,3.4,4.7,4.7,4.6,4.6,4.8,4.7,Fair,112
4.8,4.5,4.9,4.7,4.8,4.7,4.7,4.8,Good,113
4.7,4.5,4.8,4.7,4.6,4.7,4.8,4.8,Good,114
4.8,3.4,4.9,4.7,4.8,4.7,4.7,4.8,Good,115
4.6,4.7,4.7,4.7,4.5,4.4,4.7,4.6,Great,116
4.6,4.6,4.7,4.7,4.5,4.4,4.7,4.6,Great,117
4.6,4.7,4.4,4.5,4.6,4.5,4.8,4.8,Good,118
4.8,4.9,4.9,4.7,4.8,4.7,4.8,4.8,Good,119
4.8,4.6,4.7,4.8,5.0,4.5,4.7,5.0,Fair,120
4.8,3.9,4.9,4.8,4.8,4.8,4.8,4.6,Great,121
4.5,4.4,4.6,4.7,4.4,4.3,4.7,4.3,Good,122
4.8,4.9,4.9,4.8,4.8,4.8,4.8,4.6,Good,123
4.6,3.4,4.7,4.5,4.5,4.5,4.8,4.7,Great,124
4.3,4.6,4.2,4.2,4.4,4.3,4.4,4.4,Great,125
4.6,4.5,4.8,4.6,4.6,4.2,4.7,4.6,Good,126
4.6,4.9,4.7,4.6,4.7,4.4,4.7,4.6,Good,127
4.9,4.6,4.9,4.9,4.9,4.8,4.8,4.9,Good,128
4.8,4.7,4.9,4.7,4.9,4.7,4.9,4.9,Great,129
2.9,3.7,3.5,4.1,2.6,2.2,3.8,2.1,Not Specified,130
4.8,4.4,4.7,4.7,4.8,4.7,4.8,4.9,Good,131
4.6,4.7,4.9,4.8,4.8,4.2,4.5,4.4,Fair,132
4.8,4.9,4.9,4.7,4.7,4.6,4.8,4.9,Great,133
4.7,4.9,5.0,4.9,4.9,4.4,4.7,4.6,Fair,134
4.8,4.8,4.9,4.7,4.7,4.6,4.8,4.9,Great,135
4.4,4.0,4.4,4.5,4.2,4.4,4.6,4.4,Not Specified,136
4.9,4.8,4.8,4.8,4.9,4.8,4.9,4.9,Good,137
4.2,4.4,4.4,4.1,4.0,4.3,4.1,4.2,Great,138
4.8,4.6,4.9,4.8,4.8,4.7,4.8,4.9,Great,139
4.7,4.7,4.8,4.7,4.7,4.6,4.8,4.7,Good,140
4.8,4.7,4.9,4.7,4.9,4.7,4.9,4.9,Good,141
4.7,4.8,4.8,4.6,4.8,4.7,4.6,4.8,Fair,142
4.3,4.8,4.4,4.2,4.3,4.0,4.6,4.2,Great,143
4.7,3.4,4.7,4.7,4.8,4.5,4.8,4.6,Great,144
4.9,4.8,4.7,5.0,5.0,4.7,4.7,5.0,Great,145
4.8,4.7,4.8,4.8,5.0,4.3,5.0,4.7,Great,146
4.9,5.0,4.9,4.8,4.9,4.8,4.8,5.0,Great,147
4.6,5.0,4.7,4.5,4.9,4.3,4.5,4.2,Not Specified,148
4.8,4.4,4.9,4.8,4.9,4.5,4.9,4.9,Not Specified,149
4.8,3.7,4.8,4.8,4.7,4.7,4.9,4.7,Not Specified,150
4.9,2.0,4.9,4.8,4.9,4.8,4.8,5.0,Fair,151
4.7,4.7,4.7,4.8,4.6,4.7,4.8,4.6,Fair,152
4.8,4.8,4.9,4.8,4.7,4.8,4.9,4.9,Good,153
3.7,3.4,3.9,3.8,4.1,3.3,3.8,4.0,Great,154
4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.8,Fair,155
4.8,3.0,4.9,4.9,4.8,4.6,4.9,4.8,Great,156
4.9,4.0,4.9,4.9,4.9,4.8,4.8,4.9,Great,157
4.7,3.4,4.3,4.6,4.9,4.5,4.9,4.9,Great,158
4.7,4.4,4.7,4.7,4.6,4.7,4.9,4.8,Great,159
4.9,5.0,4.9,4.9,4.9,4.8,4.8,4.9,Great,160
4.0,4.8,4.1,4.2,4.3,3.7,4.2,3.8,Good,161
4.7,4.8,4.6,4.7,4.9,4.3,4.9,4.7,Not Specified,162
4.6,4.1,4.6,4.5,4.6,4.6,4.6,4.7,Good,163
4.8,4.7,4.8,4.7,4.7,4.7,4.9,4.9,Good,164
4.7,4.8,4.8,4.7,4.6,4.7,4.7,4.8,Good,165
4.8,4.7,4.8,4.8,4.7,4.6,4.9,4.8,Good,166
3.7,4.6,3.9,3.8,4.1,3.3,3.8,4.0,Good,167
4.7,4.4,4.7,4.7,4.8,4.3,4.8,4.6,Good,168
4.7,3.7,4.7,4.7,4.8,4.3,4.8,4.6,Fair,169
4.7,4.7,4.7,4.6,4.4,4.6,4.9,4.9,Fair,170
4.8,4.4,4.7,4.7,4.8,4.8,4.9,4.8,Good,171
4.7,4.7,5.0,4.9,4.9,4.4,4.7,4.6,Fair,172
4.7,4.4,4.7,4.7,4.7,4.7,4.8,4.8,Great,173
4.8,4.6,4.8,4.7,4.7,4.7,4.9,4.9,Great,174
4.5,4.7,4.7,4.7,4.5,4.3,4.7,4.3,Good,175
5.0,4.2,5.0,5.0,5.0,5.0,5.0,5.0,Not Specified,176
4.4,4.3,4.4,4.3,4.5,4.4,4.4,4.6,Not Specified,177
4.9,3.9,4.9,4.9,4.9,4.8,4.9,4.9,Good,178
4.8,4.5,4.8,4.8,4.8,4.7,4.9,4.8,Good,179
4.3,5.0,4.4,4.2,4.3,4.0,4.6,4.2,Good,180
5.0,4.3,5.0,5.0,5.0,5.0,5.0,5.0,Good,181
4.9,4.5,4.9,4.9,4.9,4.8,4.8,4.9,Not Specified,182
4.9,4.7,5.0,4.9,4.9,4.8,4.9,4.9,Good,183
4.9,4.7,5.0,4.9,4.9,4.8,4.9,4.9,Fair,184
4.8,4.7,4.9,4.8,4.8,4.6,4.9,4.7,Good,185
4.7,4.7,4.8,4.8,4.8,4.4,4.7,4.7,Fair,186
4.8,4.0,4.8,4.8,4.8,4.8,4.9,4.8,Good,187
4.8,4.9,4.8,4.7,4.8,4.7,4.8,4.9,Good,188
5.0,4.3,5.0,5.0,5.0,4.8,5.0,5.0,Good,189
4.9,4.3,4.9,4.9,4.9,4.8,5.0,4.9,Good,190
3.0,4.5,3.0,4.0,5.0,2.0,4.0,1.0,Good,191
4.7,4.6,4.7,4.7,4.6,4.6,4.8,4.8,Great,192
4.9,4.7,4.9,4.9,4.9,4.8,5.0,4.9,Great,193
4.8,4.7,4.9,4.8,4.8,4.6,4.8,4.7,Good,194
4.9,4.8,4.9,4.9,5.0,4.6,4.9,4.9,Fair,195
4.8,3.7,4.8,4.8,4.7,4.7,4.8,4.8,Good,196
4.7,4.5,4.7,4.6,4.6,4.6,4.8,4.9,Good,197
4.9,4.4,4.9,4.9,4.9,4.8,4.8,4.9,Great,198
4.8,4.5,4.7,4.7,4.6,4.8,4.8,4.8,Great,199
4.5,4.9,4.6,4.3,4.4,4.6,4.3,4.7,Good,200
4.8,4.6,4.9,4.7,4.7,4.7,4.7,4.7,Good,201
4.8,4.9,4.8,4.8,4.7,4.7,4.8,4.8,Good,202
4.8,2.9,4.8,4.7,4.8,4.7,4.8,4.9,Good,203
4.1,4.4,4.5,4.6,4.0,3.4,4.5,3.5,Fair,204
4.8,3.6,5.0,4.9,5.0,4.6,4.8,4.6,Great,205
4.7,4.4,4.7,4.7,4.6,4.6,4.8,4.7,Great,206
4.8,4.1,4.9,4.7,4.8,4.9,4.9,4.9,Great,207
4.9,4.8,4.9,4.8,4.8,4.8,4.8,4.9,Good,208
4.8,4.6,4.8,4.8,4.8,4.8,4.9,4.8,Great,209
4.8,4.7,4.8,4.7,4.8,4.7,4.8,4.9,Good,210
4.8,3.3,4.8,4.7,4.8,4.7,4.8,4.9,Good,211
4.7,4.3,4.7,4.8,4.7,4.7,4.8,4.8,Great,212
4.3,4.2,4.6,4.6,4.0,3.9,4.6,4.1,Good,213
4.9,2.1,4.9,4.9,5.0,4.6,4.9,4.9,Good,214
4.7,2.1,4.7,4.7,4.8,4.3,4.8,4.6,Fair,215
5.0,4.6,5.0,5.0,5.0,4.9,4.9,4.9,Fair,216
5.0,4.6,5.0,5.0,5.0,4.9,4.9,4.9,Good,217
4.6,4.8,4.8,4.8,4.6,4.5,4.7,4.6,Good,218
4.6,4.8,4.8,4.6,4.8,4.0,4.6,4.6,Not Specified,219
4.7,3.9,4.8,4.9,4.6,4.4,4.7,4.8,Fair,220
4.8,4.7,4.9,4.8,4.7,4.7,4.7,4.8,Good,221
4.6,4.7,4.8,4.8,4.6,4.5,4.7,4.6,Great,222
4.7,4.6,4.5,4.7,4.4,4.8,4.9,4.8,Great,223
4.7,2.5,4.7,4.7,4.6,4.7,4.7,4.8,Good,224
4.7,4.9,4.7,4.7,4.6,4.7,4.7,4.8,Great,225
4.6,4.5,4.8,4.6,4.6,4.2,4.7,4.6,Fair,226
4.8,4.5,4.9,4.8,4.8,4.6,4.8,4.8,Good,227
4.6,4.1,4.7,4.5,4.6,4.6,4.6,4.5,Good,228
4.8,4.0,4.8,4.8,4.7,4.7,4.8,4.8,Great,229
4.8,4.7,4.9,4.9,4.8,4.6,4.9,4.8,Great,230
4.7,4.1,4.3,4.4,4.8,4.8,4.9,4.7,Good,231
4.8,4.6,5.0,4.9,5.0,4.5,4.9,4.7,Fair,232
4.5,3.8,4.7,4.5,4.5,4.4,4.6,4.5,Good,233
4.8,4.7,4.8,4.9,4.9,4.8,4.7,4.9,Fair,234
4.8,4.7,4.9,4.8,4.8,4.7,4.8,4.9,Great,235
4.7,4.7,4.7,4.6,4.9,4.3,4.9,4.7,Fair,236
4.9,4.9,5.0,5.0,4.9,4.9,5.0,4.9,Good,237
4.8,4.5,4.8,4.7,4.7,4.9,4.8,4.7,Good,238
4.7,4.5,4.6,4.7,4.9,4.5,5.0,4.4,Great,239
4.1,4.6,3.9,4.0,4.1,3.9,4.5,4.3,Good,240
4.7,3.4,4.7,4.7,4.6,4.7,4.7,4.8,Great,241
4.6,4.0,4.7,4.5,4.5,4.5,4.5,4.6,Great,242
4.5,4.9,4.6,4.5,4.4,4.4,4.6,4.6,Good,243
4.9,4.7,4.8,4.8,4.9,4.8,4.9,4.9,Good,244
4.6,3.8,4.7,4.4,4.7,4.5,4.6,4.7,Fair,245
4.6,4.8,4.8,4.6,4.5,4.3,4.7,4.5,Great,246
4.7,4.9,5.0,4.9,4.9,4.4,4.7,4.6,Good,247
4.5,4.8,4.5,4.6,4.5,4.4,4.7,4.4,Fair,248
4.7,4.7,4.7,4.5,4.6,4.7,4.4,4.9,Fair,249
4.5,2.8,5.0,4.7,5.0,3.7,4.0,4.0,Great,250
4.7,4.4,4.8,4.7,4.6,4.7,4.7,4.8,Great,251
4.9,4.6,5.0,5.0,5.0,4.0,5.0,5.0,Great,252
4.5,2.5,4.6,4.7,4.3,4.5,4.6,4.5,Great,253
4.9,4.8,4.8,4.9,4.8,4.8,5.0,5.0,Good,254
4.7,4.8,4.8,4.7,4.8,4.5,4.9,4.8,Good,255
4.8,4.8,4.8,4.8,4.7,4.7,4.8,4.8,Good,256
4.8,4.8,4.5,4.7,5.0,4.5,4.9,4.8,Great,257
4.8,2.5,4.8,4.8,4.8,4.5,4.8,4.7,Good,258
4.8,4.4,4.8,4.7,4.8,4.6,4.8,4.8,Good,259
4.9,4.0,4.9,4.9,4.9,4.7,4.9,4.9,Fair,260
4.8,4.3,4.8,4.8,4.7,4.6,4.8,4.8,Great,261
4.7,4.7,4.8,4.7,4.6,4.7,4.7,4.8,Good,262
4.8,4.4,4.8,4.8,4.7,4.8,4.8,4.8,Good,263
4.9,2.3,5.0,4.9,4.9,4.8,4.9,4.9,Great,264
4.7,4.8,4.8,4.8,4.8,4.4,4.7,4.7,Great,265
4.8,4.6,4.8,4.8,4.8,4.7,4.7,4.9,Good,266
4.8,3.5,4.9,4.8,4.8,4.8,4.8,4.7,Fair,267
4.6,4.4,4.7,4.7,4.6,4.4,4.8,4.6,Good,268
4.8,4.5,4.9,4.9,4.8,4.4,4.9,4.6,Good,269
4.0,4.7,4.1,4.2,4.3,3.7,4.2,3.8,Good,270
4.7,4.7,4.9,4.8,4.6,4.5,4.9,4.7,Great,271
4.9,4.8,4.9,4.9,4.9,4.8,5.0,4.9,Good,272
4.9,4.7,4.8,4.8,4.9,4.9,4.9,4.8,Great,273
4.8,4.1,4.8,4.9,4.8,4.8,4.9,4.8,Great,274
4.7,4.3,4.8,4.6,4.7,4.5,4.7,4.7,Good,275
4.8,4.3,4.9,4.8,4.8,4.6,4.8,4.8,Good,276
4.8,3.2,4.7,4.8,4.9,4.7,4.9,4.8,Good,277
4.9,5.0,4.8,4.8,5.0,4.7,4.9,4.9,Great,278
4.8,2.9,4.8,4.8,4.7,4.7,4.8,4.8,Good,279
4.9,4.6,4.9,4.9,5.0,4.6,4.9,4.9,Good,280
4.0,4.5,4.1,4.2,4.3,3.7,4.2,3.8,Good,281
4.8,4.5,4.9,4.9,4.8,4.6,4.9,4.8,Good,282
5.0,4.5,5.0,5.0,5.0,4.8,5.0,5.0,Good,283
4.8,4.8,4.8,4.9,4.8,4.6,4.9,4.7,Good,284
4.7,4.8,4.8,4.6,4.4,4.5,5.0,4.5,Fair,285
4.8,4.7,4.8,4.8,4.8,4.8,4.8,4.9,Great,286
4.9,2.5,5.0,4.9,5.0,4.9,5.0,5.0,Great,287
4.9,4.6,4.8,5.0,5.0,5.0,5.0,4.6,Good,288
4.8,4.4,4.9,4.8,4.7,4.7,4.7,4.8,Great,289
4.3,4.9,4.6,4.5,4.2,4.1,4.6,4.2,Good,290
4.3,4.8,4.6,4.5,4.2,4.1,4.6,4.2,Great,291
4.6,4.7,4.6,4.4,4.7,4.2,4.5,4.7,Good,292
4.7,4.5,4.7,4.7,4.6,4.6,4.8,4.7,Great,293
4.9,4.7,4.9,4.9,4.9,4.8,4.8,4.9,Fair,294
4.8,4.1,4.9,4.7,4.8,4.9,4.9,4.9,Good,295
4.5,3.3,4.8,4.8,4.4,4.2,4.8,4.1,Fair,296
4.8,4.8,4.8,4.7,4.8,4.7,4.8,4.8,Good,297
4.8,3.9,4.9,4.7,4.8,4.7,4.7,4.8,Good,298
4.8,4.7,4.8,4.8,4.7,4.7,4.8,4.8,Fair,299
4.7,4.7,4.8,4.7,4.8,4.7,4.6,4.8,Fair,300
4.8,4.8,4.9,4.8,4.8,4.6,5.0,4.9,Good,301
4.8,4.6,4.8,4.8,4.8,4.6,4.8,4.8,Great,302
4.5,4.8,4.5,4.5,4.5,4.5,4.6,4.6,Good,303
4.8,4.5,4.9,4.9,4.8,4.7,4.9,4.9,Good,304
4.8,4.4,4.7,4.7,4.8,4.7,4.8,4.9,Great,305
4.8,3.9,4.9,4.8,4.7,4.8,4.9,4.9,Good,306
4.1,4.7,4.6,4.7,4.1,4.0,4.5,3.3,Good,307
4.8,4.8,4.7,4.8,4.9,4.6,4.9,4.8,Great,308
4.6,4.7,4.2,4.2,4.8,4.8,4.9,4.6,Good,309
4.9,4.7,4.9,4.9,4.9,4.8,4.8,4.9,Good,310
4.6,4.4,4.5,4.7,4.5,4.6,4.8,4.4,Not Specified,311
4.3,4.4,4.5,4.6,4.0,4.3,4.6,3.9,Good,312
4.7,4.2,4.6,4.6,4.6,4.7,4.6,4.8,Good,313
4.8,4.8,4.7,4.7,4.8,4.8,4.8,4.8,Good,314
4.9,4.8,5.0,4.9,4.9,4.8,5.0,5.0,Good,315
4.7,4.8,4.7,4.7,4.8,4.3,4.8,4.6,Good,316
4.9,4.9,5.0,4.8,5.0,4.8,5.0,4.8,Good,317
4.1,4.6,3.9,4.0,4.1,3.9,4.5,4.3,Great,318
4.7,4.8,5.0,4.9,4.9,4.4,4.7,4.6,Fair,319
4.1,4.7,3.9,4.0,4.1,3.9,4.5,4.3,Good,320
4.7,4.5,4.9,4.7,4.8,4.4,4.8,4.8,Great,321
4.5,4.5,4.6,4.5,4.4,4.4,4.6,4.6,Good,322
4.5,4.6,4.6,4.5,4.4,4.4,4.6,4.6,Good,323
4.7,4.7,4.8,4.7,4.7,4.6,4.7,4.7,Good,324
4.5,4.0,4.6,4.5,4.4,4.4,4.6,4.6,Good,325
4.8,3.7,4.7,4.7,4.8,4.6,4.9,4.7,Not Specified,326
4.6,3.7,4.7,4.4,4.7,4.5,4.6,4.7,Great,327
4.1,4.0,4.5,4.6,4.0,3.4,4.5,3.5,Good,328
4.8,4.1,4.8,4.7,4.7,4.6,4.9,4.8,Good,329
4.8,4.6,5.0,4.9,4.7,4.5,4.7,4.8,Good,330
4.8,4.4,4.8,4.7,4.7,4.6,4.9,4.8,Great,331
4.7,3.0,4.8,4.7,4.7,4.4,4.8,4.7,Great,332
4.9,4.6,5.0,4.9,4.9,4.8,5.0,4.9,Good,333
4.8,4.9,4.9,4.9,4.7,4.7,4.9,4.7,Good,334
4.7,1.0,4.8,4.7,4.6,4.7,4.7,4.8,Good,335
4.7,4.6,4.7,4.6,4.7,4.6,4.9,4.9,Good,336
4.7,4.6,4.8,4.8,4.8,4.4,4.7,4.7,Fair,337
4.8,4.6,4.8,4.7,4.7,4.7,4.9,4.9,Good,338
4.8,4.6,4.8,4.8,4.8,4.8,4.9,4.8,Good,339
4.0,4.5,4.3,4.5,4.2,3.4,4.7,3.5,Fair,340
5.0,4.6,5.0,5.0,5.0,4.8,5.0,5.0,Good,341
3.7,4.7,3.9,3.8,4.1,3.3,3.8,4.0,Good,342
4.8,4.4,4.9,4.8,4.8,4.6,4.8,4.7,Good,343
4.8,4.0,4.8,4.8,4.8,4.7,4.9,4.9,Good,344
4.0,4.3,4.1,4.2,4.3,3.7,4.2,3.8,Good,345
4.9,4.6,5.0,4.9,4.8,4.9,4.9,4.9,Great,346
4.7,4.0,4.8,4.7,4.6,4.7,4.8,4.8,Good,347
4.7,4.6,4.8,4.7,4.6,4.5,4.7,4.8,Fair,348
4.9,3.0,5.0,5.0,5.0,4.7,4.9,4.9,Great,349
4.8,3.0,4.9,4.9,4.8,4.6,4.9,4.8,Good,350
4.9,4.7,4.9,4.9,4.9,4.8,4.9,4.9,Good,351
4.0,4.4,4.4,4.4,4.1,3.5,4.5,3.5,Great,352
4.6,4.4,4.6,4.5,4.4,4.6,4.7,4.8,Good,353
4.8,4.6,4.8,4.7,4.9,4.7,4.8,4.7,Good,354
4.9,4.7,4.9,4.9,4.8,4.8,4.9,4.8,Fair,355
4.7,3.4,4.6,4.6,4.6,4.6,4.7,4.8,Good,356
4.9,4.5,5.0,4.9,4.8,4.9,4.9,4.9,Good,357
4.7,4.8,4.8,4.6,4.7,4.5,4.7,4.7,Great,358
4.4,5.0,4.6,4.4,4.4,4.4,4.4,4.4,Great,359
4.9,5.0,4.9,4.9,4.9,4.8,5.0,4.9,Good,360
4.8,4.2,4.9,4.8,4.8,4.6,5.0,4.9,Good,361
4.9,4.3,5.0,4.9,4.9,4.8,5.0,4.9,Good,362
4.8,4.6,4.7,4.7,4.7,4.8,4.8,4.8,Great,363
4.8,1.9,4.9,4.9,4.7,4.7,4.9,4.7,Fair,364
4.8,3.7,4.9,4.9,4.8,4.7,4.9,4.9,Good,365
4.8,4.7,4.8,4.9,4.9,4.3,4.8,4.7,Fair,366
4.7,4.2,4.7,4.5,4.7,4.6,4.8,4.8,Great,367
4.8,4.7,4.8,4.6,4.7,4.8,4.7,4.8,Good,368
4.7,4.3,4.8,4.8,4.5,4.6,4.7,4.6,Good,369
4.8,4.6,4.9,4.7,4.7,4.6,4.8,4.8,Good,370
