Year,Make,Model,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,ID_Vehiculo
2019,Bmw,Z4 sDrive30i,RWD,25,32,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,47
2016,Land,Rover Range Rover,4WD,14,19,Gasoline,Automatic,5.0L V8 32V GDI DOHC Supercharged,48
2011,Ford,F-150 Lariat,4WD,14,19,Flex Fuel,Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,49
2018,Mazda,CX-5 Grand Touring,FWD,25,31,Gasoline,Automatic,2.5L I4 16V GDI DOHC,50
2018,Kia,Sportage LX,FWD,23,30,Gasoline,Automatic,2.4L I4 16V GDI DOHC,51
2017,Volkswagen,Tiguan Sport,AWD,20,24,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,52
2017,Chrysler,300 S,RWD,19,30,Gasoline,Automatic,5.7L V8 16V MPFI OHV,53
2020,Tesla,Model X Performance,AWD,80,77,Electric,Automatic,Electric Motor Electric Fuel System,54
2019,Subaru,Impreza 2.0i Premium,AWD,28,36,Gasoline,CVT,2.0L H4 16V GDI DOHC,55
2019,Jeep,Cherokee Latitude Plus,4WD,21,29,Gasoline,Automatic,2.4L I4 16V MPFI SOHC,56
2019,Jeep,Cherokee Latitude Plus,FWD,22,31,Gasoline,Automatic,4 Cylinder Engine,57
2018,Bmw,320 i xDrive,AWD,23,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,58
2016,Porsche,Cayenne Base,AWD,19,24,Gasoline,Automatic,3.6L V6 24V GDI DOHC,59
2016,Nissan,Rogue SV,AWD,25,32,Gasoline,CVT,2.5L I4 16V MPFI DOHC,60
2014,Mercedes-Benz,E-Class E 350 4MATIC,AWD,21,30,Gasoline,Automatic,V6 Cylinder Engine,61
2012,Bmw,X5 xDrive35i Premium,AWD,16,23,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,62
2020,Hyundai,Santa Fe SEL 2.4,AWD,21,27,Gasoline,Automatic,2.4L I4 16V GDI DOHC,63
2019,Mercedes-Benz,AMG E 63 S 4MATIC,AWD,15,23,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,64
2019,Mercedes-Benz,S-Class S 560 4MATIC,AWD,17,27,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,65
2020,Hyundai,Elantra SE,FWD,30,40,Gasoline,CVT,2.0L I4 16V MPFI DOHC,66
2020,Bmw,X3 M40i,AWD,21,27,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,67
2019,Volkswagen,Golf R 2.0T w/DCC & Navigation,AWD,23,30,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,68
2018,Land,Rover Range Rover HSE,4WD,17,23,Gasoline,Automatic,V6,69
2018,Bmw,430 Gran Coupe i xDrive,AWD,23,33,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,70
2019,Mercedes-Benz,GLS 450 4MATIC,AWD,16,22,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,71
2011,Lexus,LS 460 Base,AWD,16,23,Gasoline,Automatic,4.6L V8 32V PDI DOHC,72
2016,Gmc,Yukon Denali,4WD,15,21,Gasoline,Automatic,6.2L V8 16V GDI OHV,73
2020,Mercedes-Benz,GLB 250 Base,FWD,23,30,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,74
2021,Toyota,Camry SE,FWD,28,39,Gasoline,Automatic,2.5L I4 16V PDI DOHC,75
2018,Ford,Edge Sport,AWD,17,24,Gasoline,Automatic,V6 Cylinder Engine,76
2019,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,77
2021,Toyota,4Runner Limited,4WD,16,19,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,78
2016,Ford,F-150,RWD,15,22,Flex Fuel,Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,79
2012,Audi,A5 2.0T Premium,AWD,21,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,80
2015,Lexus,RC F Base,RWD,16,25,Gasoline,Automatic,5.0L V8 32V PDI DOHC,81
2021,Dodge,Challenger R/T,RWD,15,23,Gasoline,Automatic,5.7L V8 16V MPFI OHV,82
2016,Mazda,CX-5 Grand Touring,AWD,24,30,Gasoline,Automatic,2.5L I4 16V GDI DOHC,83
2015,Honda,Accord EX-L,FWD,21,34,Gasoline,Automatic,3.5L V6 24V MPFI SOHC,84
2017,Chevrolet,Camaro 2SS,RWD,16,25,Gasoline,Automatic,6.2L V8 16V GDI OHV,85
2017,Nissan,Rogue S,AWD,25,32,Gasoline,CVT,2.5L I4 16V MPFI DOHC,86
2019,Toyota,Highlander SE,FWD,21,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC,87
2019,Chevrolet,Cruze LS,FWD,28,38,Gasoline,Automatic,1.4L I4 16V GDI DOHC Turbo,88
2018,Chevrolet,Traverse Premier,FWD,18,27,Gasoline,Automatic,3.6L V6 24V GDI DOHC,89
2020,Nissan,Murano SV,FWD,20,28,Gasoline,CVT,3.5L V6 24V MPFI DOHC,90
2019,Bmw,540 i xDrive,AWD,21,29,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,91
2021,Volkswagen,Atlas 3.6L SEL Premium,AWD,16,22,Gasoline,Automatic,3.6L V6 24V GDI DOHC,92
2015,Chevrolet,Tahoe LTZ,4WD,16,22,Gasoline,Automatic,5.3L V8 16V GDI OHV,93
2020,Honda,Civic Sport,FWD,29,37,Gasoline,Automatic,Engine: 2.0L I-4 DOHC 16-Valve i-VTEC,94
2018,Nissan,Rogue SL,AWD,25,32,Gasoline,CVT,2.5L I4 16V MPFI DOHC,95
2021,Honda,Pilot Special Edition,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,96
2017,Hyundai,Tucson SE,AWD,21,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC,97
2019,Buick,Enclave Essence,FWD,18,26,Gasoline,Automatic,3.6L V6 24V GDI DOHC,98
2015,Jeep,Wrangler Unlimited Sport,4WD,16,21,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,99
2020,Buick,Enclave Essence,FWD,18,26,Gasoline,Automatic,3.6L V6 24V GDI DOHC,100
2018,Bmw,X5 M Base,AWD,14,19,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,101
2021,Genesis,GV80 2.5T,RWD,21,25,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,102
2021,Chevrolet,Tahoe Z71,4WD,16,20,Gasoline,Automatic,5.3L V8 16V GDI OHV,103
2021,Genesis,GV80 2.5T,AWD,21,25,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,104
2017,Acura,MDX 3.5L w/Advance Package,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,105
2007,Toyota,RAV4 Sport,4WD,21,28,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,106
2015,Chevrolet,Suburban 1500 LT,4WD,15,22,Gasoline,Automatic,5.3L V8 16V GDI OHV,107
2016,Ford,F-150 XLT,4WD,17,23,Gasoline,Automatic,2.7L V6 24V GDI DOHC Twin Turbo,108
2020,Acura,MDX 3.5L w/Technology Package,FWD,20,27,Gasoline,Automatic,3.5L V6 24V GDI SOHC,109
2019,Toyota,Tundra SR5,4WD,13,17,Gasoline,Automatic,5.7L V8 32V MPFI DOHC,110
2021,Cadillac,Escalade Sport,4WD,14,19,Gasoline,Automatic,6.2L V8 16V GDI OHV,111
2020,Chrysler,300 S,RWD,19,30,Gasoline,Automatic,5.7L V8 16V MPFI OHV,112
2018,Honda,Civic LX,FWD,30,39,Gasoline,CVT,2.0L I4 16V MPFI DOHC,113
2013,Mercedes-Benz,SL-Class SL 550,RWD,17,25,Gasoline,Automatic,Turbocharged Gas V8 4.6L/285,114
2020,Infiniti,QX60 Pure,FWD,20,27,Gasoline,CVT,3.5L V6 24V GDI DOHC,115
2019,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,116
2012,Kia,Sorento SX,AWD,18,24,Gasoline,Automatic,3.5L DOHC dual CVVT 24-valve V6 engine,117
2019,Honda,Civic Sport,FWD,25,36,Gasoline,Manual,4 Cylinder Engine,118
2003,Ford,Taurus SES,FWD,20,27,Gasoline,Automatic,3.0L V6 24V MPFI DOHC,119
2020,Lexus,RX 350 Base,AWD,19,26,Gasoline,Automatic,3.5L V6 24V PDI DOHC,120
2020,Kia,Sorento LX,FWD,22,29,Gasoline,Automatic,2.4L I4 16V GDI DOHC,121
2019,Toyota,Tundra SR5,4WD,14,18,Gasoline,Automatic,4.6L V8 32V MPFI DOHC,122
2010,Lexus,LS 460 Base,RWD,16,24,Gasoline,Automatic,4.6L V8 32V PDI DOHC,123
2019,Chevrolet,Silverado 1500 Custom,RWD,16,21,Gasoline,Automatic,4.3L V6 12V GDI OHV,124
2015,Bmw,328 i,RWD,23,35,Gasoline,Automatic,2.0L 4-Cylinder DOHC 16V Turbocharged,125
2021,Porsche,Macan GTS,AWD,17,22,Gasoline,Automatic,2.9L V6 24V GDI DOHC Twin Turbo,126
2021,Land,Rover Range Rover Sport HSE Silver Edition,4WD,19,24,Gasoline,Automatic,V6,127
2018,Bmw,320 320i xDrive,AWD,23,34,Gasoline,Automatic,Engine: 2.0L TwinPower Turbo 4-Cylinder 16V DOHC,128
2002,Bmw,540 i,RWD,15,23,Gasoline,Manual,290.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,129
2016,Porsche,Cayenne Base,AWD,19,24,Gasoline,Automatic,V6 Cylinder Engine,130
2019,Mazda,Mazda3 AWD w/Preferred Package,AWD,25,33,Gasoline,Automatic,2.5L I4 16V GDI DOHC,131
2019,Genesis,G80 3.8,AWD,18,24,Gasoline,Automatic,3.8L V6 24V GDI DOHC,132
2020,Tesla,Model Y Long Range,AWD,127,114,Electric,Automatic,Electric,133
2013,Toyota,Highlander Base Plus,AWD,17,22,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,134
2019,Jeep,Grand Cherokee Altitude,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,135
2020,Acura,MDX 3.5L,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,136
2017,Bmw,M3 Base,RWD,17,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Twin Turbo,137
2020,Toyota,Tacoma SR,4WD,18,22,Gasoline,Automatic,3.5L V6 24V PDI DOHC,138
2020,Acura,MDX 3.5L w/Technology Package,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,139
2021,Tesla,Model Y Long Range,AWD,131,117,Electric,Automatic,Electric,140
2013,Porsche,Boxster S,RWD,20,28,Gasoline,Automatic,3.4L H6 24V GDI DOHC,141
2010,Mazda,Mazda6 s Grand Touring,FWD,17,25,Gasoline,Automatic,3.7L V6 24V MPFI DOHC,142
2018,Toyota,4Runner Limited,4WD,17,20,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,143
2019,Subaru,Forester,AWD,26,33,Gasoline,CVT,2.5L H4 16V GDI DOHC,144
2018,Cadillac,XT5 Premium Luxury,FWD,19,26,Gasoline,Automatic,3.6L V6 24V GDI DOHC,145
2019,Bmw,X3 sDrive30i,RWD,23,30,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,146
2012,Toyota,4Runner Limited,4WD,17,22,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,147
2018,Honda,Civic EX-T,FWD,31,40,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,148
2020,Toyota,Corolla SE,FWD,31,40,Gasoline,CVT,2.0L I4 16V PDI DOHC,149
2020,Ford,Expedition Max Limited,RWD,17,23,Gasoline,Automatic,3.5L V6 24V GDI DOHC Twin Turbo,150
2022,Honda,Pilot Elite,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,151
2014,Subaru,Forester 2.5i,AWD,24,32,Gasoline,CVT,2.5L H4 16V MPFI DOHC,152
2020,Ford,Edge Titanium,AWD,21,28,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,153
2019,Chevrolet,Silverado 1500 RST,4WD,19,22,Gasoline,Automatic,5.3L V8 16V GDI OHV,154
2020,Lexus,RX 450hL Base,AWD,29,28,Hybrid,CVT,3.5L V6 24V PDI DOHC Hybrid,155
2021,Subaru,Forester Premium,AWD,26,33,Gasoline,CVT,2.5L H4 16V GDI DOHC,156
2019,Volvo,XC60 T5 Inscription,FWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,157
2019,Volvo,XC60 T5 Momentum,FWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,158
2019,Volvo,XC40 T5 R-Design,AWD,23,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,159
2020,Bmw,X5 sDrive40i,RWD,21,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,160
2019,Mazda,CX-5 Grand Touring,FWD,25,31,Gasoline,Automatic,2.5L I4 16V GDI DOHC,161
2019,Toyota,4Runner Limited,4WD,17,20,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,162
2019,Bmw,M850 i xDrive,AWD,18,25,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,163
2020,Dodge,Challenger SXT,RWD,19,30,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,164
2021,Tesla,Model 3 Performance,AWD,118,107,Gasoline,Automatic,10 Cylinder,165
2018,Hyundai,Santa Fe Limited Ultimate,AWD,17,22,Gasoline,Automatic,3.3L V6 24V GDI DOHC,166
2019,Ford,F-150 XLT,4WD,18,23,Gasoline,Automatic,2.7L V6 24V PDI DOHC Twin Turbo,167
2019,Bmw,330 i xDrive,AWD,25,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,168
2019,Honda,CR-V EX,FWD,28,34,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,169
2016,Toyota,4Runner Trail Premium,4WD,17,21,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,170
2017,Subaru,Impreza 2.0i,AWD,28,38,Gasoline,CVT,4 Cylinder Engine,171
2004,Toyota,Highlander Base,FWD,23,23,Gasoline,Automatic,3.3L V6,172
2003,Lexus,RX 300,AWD,18,22,Gasoline,Automatic,3.0L V6 24V MPFI DOHC,173
2019,Honda,CR-V EX-L,AWD,27,33,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,174
2019,Toyota,4Runner SR5,RWD,17,21,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,175
2019,Bmw,X7 xDrive50i,AWD,15,21,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,176
2008,Mercedes-Benz,S-Class S 550 4MATIC,AWD,14,20,Gasoline,Automatic,5.5L V8 32V MPFI DOHC,177
2020,Acura,TLX FWD,FWD,23,33,Gasoline,Automatic,2.4L I4 16V GDI DOHC,178
2018,Toyota,RAV4 XLE,FWD,23,30,Gasoline,Automatic,2.5L I4 16V MPFI DOHC,179
2019,Honda,Accord EX-L 1.5T,FWD,30,38,Gasoline,Automatic,Engine: 1.5T I-4 DOHC 16-Valve Turbocharged VTEC,180
2020,Mercedes-Benz,GLE 350 Base 4MATIC,AWD,19,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,181
2019,Bmw,330 i,RWD,26,36,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,182
2019,Bmw,X3 M40i,AWD,20,27,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,183
2021,Audi,Q3 45 S line Premium,AWD,20,28,Gasoline,Automatic,I4,184
2019,Mercedes-Benz,GLC 300 Base 4MATIC,AWD,22,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,185
2021,Bmw,X5 PHEV xDrive45e,AWD,0,0,Hybrid,Automatic,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,186
2018,Audi,S5 3.0T Prestige,AWD,21,30,Gasoline,Automatic,3.0L V6 24V GDI DOHC Turbo,187
2019,Honda,Pilot EX-L,FWD,19,27,Gasoline,Automatic,3.5L V6 24V GDI SOHC,188
2019,Mercedes-Benz,GLC 300 Base 4MATIC,AWD,22,27,Gasoline,Automatic,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,189
2020,Chevrolet,Spark LS,FWD,30,38,Gasoline,CVT,1.4L I4 16V MPFI DOHC,190
2019,Hyundai,Elantra SE,FWD,29,38,Gasoline,Automatic,2.0L I4 16V MPFI DOHC,191
2012,Mercedes-Benz,S-Class S 550 4MATIC,AWD,15,24,Gasoline,Automatic,4.7L V8 32V GDI DOHC Twin Turbo,192
2020,Nissan,Frontier PRO-4X,4WD,17,23,Gasoline,Automatic,3.8L V6 24V GDI DOHC,193
2018,Honda,Accord EX-L 1.5T,FWD,30,38,Gasoline,â,Engine: 1.5T I-4 DOHC 16-Valve Turbocharged VTEC,194
2019,Jeep,Grand Cherokee Limited,4WD,18,25,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,195
2010,Bmw,128 128i,RWD,18,28,Gasoline,Automatic,3.0L DOHC 24-valve I6 engine -inc: double-VANOS steplessly varia,196
2011,Ford,F-150 Lariat,4WD,0,0,Flex Fuel,Automatic,5.0L V8 FFV engine,197
2004,Lexus,LS 430 Base (A6),RWD,18,25,Gasoline,Automatic,4.3L V8 32V MPFI DOHC,198
2016,Audi,A7 3.0T Prestige,AWD,20,30,Gasoline,Automatic,3.0L V6 24V GDI DOHC Supercharged,199
2020,Mazda,Mazda6 Sport,FWD,23,31,Gasoline,Automatic,2.5L I4 16V,200
2016,Hyundai,Sonata Hybrid SE,FWD,40,44,Hybrid,Automatic,2.0L I4 16V GDI DOHC Hybrid,201
2017,Alfa,Romeo Giulia Ti,AWD,23,31,Gasoline,Automatic,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,202
2019,Mercedes-Benz,CLA 250 Base,FWD,24,37,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,203
2017,Toyota,Corolla LE,FWD,28,36,Gasoline,CVT,1.8L I4 DOHC Dual VVT-i,204
2016,Acura,MDX 3.5L w/Technology Package,FWD,19,27,Gasoline,Automatic,3.5L V6 24V GDI SOHC,205
2019,Honda,Civic LX,FWD,0,38,Gasoline,Unknown,Regular Unleaded I-4 2.0 L/122,206
2008,Lexus,RX 350 Base (A5),AWD,17,22,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,207
2020,Acura,ILX Premium & A-SPEC Packages,FWD,24,34,Gasoline,Automatic,2.4L I4 16V GDI DOHC,208
2006,Toyota,Highlander Limited w/3rd Row,4WD,18,24,Gasoline,Automatic,3.3L DOHC SFI 24-valve VVT-i V6 engine,209
2019,Bmw,M550 i Xdrive,AWD,18,25,Gasoline,Automatic,8 Cylinder Engine,210
2020,Bmw,M4 Base,RWD,18,25,Gasoline,Manual,3.0L I6 24V GDI DOHC Twin Turbo,211
2019,Volkswagen,Tiguan 2.0T SE,AWD,21,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,212
2021,Cadillac,XT6 Premium Luxury AWD,AWD,18,25,Gasoline,Automatic,3.6L V6 24V GDI DOHC,213
2020,Chevrolet,Blazer Premier,FWD,19,26,Gasoline,Automatic,3.6L V6 24V GDI DOHC,214
2019,Honda,CR-V EX-L,FWD,28,34,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,215
2012,Porsche,911 Targa 4,AWD,18,25,Gasoline,Automatic,3.6L H6 24V GDI DOHC,216
2019,Mercedes-Benz,C-Class C 300,RWD,23,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,217
2015,Mercedes-Benz,E-Class E 400,RWD,20,29,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,218
2018,Audi,A3 2.0T Prestige,AWD,24,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,219
2017,Jeep,Grand Cherokee Limited,RWD,19,26,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,220
2018,Subaru,Outback 2.5i Limited,AWD,25,32,Gasoline,CVT,2.5L H4 16V MPFI DOHC,221
2015,Porsche,Cayenne S,AWD,17,24,Gasoline,Automatic,3.6L V6 24V GDI DOHC Twin Turbo,222
2020,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,223
2012,Lexus,RX 350 Base,AWD,18,24,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,224
2017,Buick,LaCrosse Premium,FWD,21,31,Gasoline,Automatic,3.6L V6 24V GDI DOHC,225
2017,Cadillac,XT5 Luxury,FWD,19,27,Gasoline,Automatic,3.6L V6 24V GDI DOHC,226
2018,Bmw,X3 xDrive30i,AWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,227
2021,Tesla,Model Y Performance,AWD,115,106,Electric,Automatic,Electric,228
2019,Infiniti,QX50 ESSENTIAL,FWD,24,31,Gasoline,CVT,2.0L I4 16V PDI DOHC Turbo,229
2021,Mazda,Mazda3 FWD w/Preferred Package,FWD,26,35,Gasoline,Automatic,2.5L I4 16V GDI DOHC,230
2021,Kia,Forte FE,FWD,31,41,Gasoline,CVT,2.0L I4 16V MPFI DOHC,231
2018,Nissan,Murano SL,FWD,21,28,Gasoline,CVT,3.5L V6 24V MPFI DOHC,232
2016,Chevrolet,Corvette Stingray Z51,RWD,17,29,Gasoline,Automatic,6.2L V8 16V GDI OHV,233
2018,Lincoln,MKZ Select,FWD,21,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,234
2019,Jeep,Grand Cherokee Limited,RWD,19,26,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,235
2019,Mercedes-Benz,AMG GLE 43 4MATIC Coupe,AWD,17,22,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,236
2021,Ford,F-150 Lariat,4WD,19,24,Gasoline,Automatic,5.0L V8 32V PDI DOHC,237
2019,Volkswagen,Arteon 2.0T SEL Premium R-Line,AWD,20,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,238
2017,Honda,Accord LX,FWD,27,36,Gasoline,CVT,2.4L I4 16V GDI DOHC,239
