Year,Make,Model,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,ExteriorColor,InteriorColor,Used,VIN,Stock#,ID_Car
2016,Honda,Odyssey EX-L,FWD,19,28,Gasoline,Automatic,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gray,Beige,True,5FNRL5H66GB090450,â,32
2020,Mercedes-Benz,GLC 300 Base,RWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black,Black,True,W1N0G8DB5LF861075,P03785A,33
2019,Audi,Q5 2.0T Premium,AWD,22,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Florett Silver Metallic,Black,True,WA1ANAFY5K2100119,K2100119P,34
2014,Bmw,428 i,RWD,23,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Glacier Silver Metallic,Black,True,WBA3V7C51EP770606,STK770606,35
2019,Volvo,XC60 T5 Momentum,AWD,20,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Denim Blue,Â,True,LYV102RK0KB289195,3674G,36
2019,Honda,Odyssey EX-L,FWD,19,28,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Crystal Black Pearl,Mocha,True,5FNRL6H71KB114385,H002570A,37
2019,Lincoln,MKZ Standard,FWD,20,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Magnetic Gray Metallic,Ebony,True,3LN6L5A98KR601862,CP26011,38
2020,Subaru,Ascent Touring 7-Passenger,AWD,20,26,Gasoline,CVT,2.4L H4 16V GDI DOHC Turbo,Crystal White Pearl,Java Brown,True,4S4WMARD3L3445339,C206657S,39
2017,Land,Rover Range Rover Evoque SE Premium,4WD,21,29,Gasoline,Automatic,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gray,Beige,True,SALVP2BG1HH214962,â,40
2022,Acura,MDX A-Spec,AWD,19,25,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Performance Red Pearl,Ebony,False,5J8YE1H06NL004768,PA2258,41
2022,Honda,Pilot EX-L,FWD,20,27,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Silver Metallic,Gray,True,5FNYF5H53NB008763,NB008763,42
2019,Chevrolet,Impala Premier 2LZ,FWD,19,28,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Black,Â,True,2G1105S31K9161628,02P596A,43
2013,Infiniti,G37 x,AWD,18,25,Gasoline,Automatic,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gray,Black,True,JN1CV6AR5DM756312,â,44
2017,Honda,Civic EX,FWD,31,40,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Modern Steel Metallic,Black / Gray,True,SHHFK7H54HU218886,K1812,45
2017,Tesla,Model S 75,RWD,0,0,Electric,Automatic,382.0HP Electric Motor Electric Fuel System,Silver,White,True,5YJSA1E17HF196111,â,46
2021,Honda,Pilot Special Edition,AWD,19,26,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,Steel Sapphire Metallic,Gray,False,5FNYF6H29MB101863,2CR3252A,47
2015,Jeep,Grand Cherokee SRT,4WD,13,19,Gasoline,Automatic,6.4L V8 16V MPFI OHV,Redline 2 Coat Pearl,Sepia / Black,True,1C4RJFDJXFC213281,Z11047A,48
2011,Ford,Explorer Limited,FWD,17,25,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,White,Beige,True,1FMHK7F86BGA15028,5028,49
2017,Bmw,M240 i,RWD,21,32,Gasoline,Automatic,Straight 6 Cylinder Engine,Alpine White,Oyster/Black,True,WBA2G1C37HV639150,HV639150,50
2020,Volvo,XC60 T5 Inscription,FWD,22,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Onyx Black Metallic,Charcoal,True,YV4102DL4L1571569,PL1571569,51
2018,Honda,Civic EX,FWD,31,40,Gasoline,CVT,1.5L I4 16V GDI DOHC Turbo,Crystal Black Pearl,Black,True,SHHFK7H51JU419408,419408K01,52
2020,Bmw,X1 xDrive28i,AWD,23,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Alpine White,Black,True,WBXJG9C08L5P94224,P94224C01,53
2020,Bmw,X1 xDrive28i,AWD,23,31,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Jet Black,Black,True,WBXJG9C07L5P88611,P88611C01,54
2019,Acura,ILX Premium & A-SPEC Packages,FWD,24,34,Gasoline,Automatic,2.4L I4 16V GDI DOHC,White,Red,True,19UDE2F87KA000944,000944,55
2021,Chrysler,300 S,RWD,19,30,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Gloss Black,Black,True,2C3CCABG7MH554324,08630,56
2017,Land,Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,4WD,17,23,Gasoline,Automatic,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,White,Red,True,SALWV2FV0HA134046,â,57
2019,Bmw,Z4 sDrive30i,RWD,25,32,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Metallic,Ivory White,True,WBAHF3C57KWW34090,KWW34090P,58
2016,Land,Rover Range Rover,4WD,14,19,Gasoline,Automatic,5.0L V8 32V GDI DOHC Supercharged,Santorini Black,Ebony / Ebony,True,SALGS2EF3GA304115,C4115,59
2011,Ford,F-150 Lariat,4WD,14,19,Flex Fuel,Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,Red,Black,True,1FTFW1EF6BFB22132,PB22132,60
2018,Mazda,CX-5 Grand Touring,FWD,25,31,Gasoline,Automatic,2.5L I4 16V GDI DOHC,Jet Black Mica,Black,True,JM3KFADMXJ1369395,PH0041,61
2018,Kia,Sportage LX,FWD,23,30,Gasoline,Automatic,2.4L I4 16V GDI DOHC,Black Cherry,Black,True,KNDPM3AC8J7352409,0230058A,62
2017,Volkswagen,Tiguan Sport,AWD,20,24,Gasoline,Automatic,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,Reflex Silver Metallic,Charcoal Black,True,WVGUV7AX9HK017771,HK017771,63
2017,Chrysler,300 S,RWD,19,30,Gasoline,Automatic,5.7L V8 16V MPFI OHV,Granite Crystal Clearcoat Metallic,Linen,True,2C3CCABT6HH596941,T1613,64
2020,Tesla,Model X Performance,AWD,80,77,Electric,Automatic,Electric Motor Electric Fuel System,White,White,True,5YJXCAE47LF229238,â,65
2019,Subaru,Impreza 2.0i Premium,AWD,28,36,Gasoline,CVT,2.0L H4 16V GDI DOHC,Ice Silver Metallic,Black,True,4S3GTAD61K3727773,727773,66
2019,Jeep,Cherokee Latitude Plus,4WD,21,29,Gasoline,Automatic,2.4L I4 16V MPFI SOHC,Diamond Black,Black,True,1C4PJMLB9KD402160,J13480A,67
2019,Jeep,Cherokee Latitude Plus,FWD,22,31,Gasoline,Automatic,4 Cylinder Engine,Granite Crystal Metallic Clearcoat,Black,True,1C4PJLLB4KD316538,223501B,68
2018,Bmw,320 i xDrive,AWD,23,34,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Black Sapphire,Charcoal,True,WBA8A3C55JA505632,F08304,69
2016,Porsche,Cayenne Base,AWD,19,24,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Black,Black,True,WP1AA2A29GKA37624,21403694,70
2016,Nissan,Rogue SV,AWD,25,32,Gasoline,CVT,2.5L I4 16V MPFI DOHC,Pearl White,Charcoal,True,KNMAT2MV5GP675373,B63859A1,71
2014,Mercedes-Benz,E-Class E 350 4MATIC,AWD,21,30,Gasoline,Automatic,V6 Cylinder Engine,Black,Black,True,WDDHF8JB1EA775902,000062,72
2012,Bmw,X5 xDrive35i Premium,AWD,16,23,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Black,Brown,True,5UXZV4C51CL989967,989967,73
2020,Hyundai,Santa Fe SEL 2.4,AWD,21,27,Gasoline,Automatic,2.4L I4 16V GDI DOHC,Portofino Gray,Black,True,5NMS3CADXLH233522,BTP9892,74
2020,Hyundai,Santa Fe SEL 2.4,AWD,21,27,Gasoline,Automatic,2.4L I4 16V GDI DOHC,Machine Gray,Black / Beige,True,5NMS3CAD1LH177728,H77728UD,75
2019,Mercedes-Benz,AMG E 63 S 4MATIC,AWD,15,23,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,Gray Metallic,Brown,False,WDDZF8KB9KA505055,P3020,76
2019,Mercedes-Benz,S-Class S 560 4MATIC,AWD,17,27,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,Black,Brown,True,WDDUG8GB9KA444046,MAJ1498,77
2020,Hyundai,Santa Fe SEL 2.4,AWD,21,27,Gasoline,Automatic,2.4L I4 16V GDI DOHC,Symphony Silver,Espresso,True,5NMS3CAD1LH162677,LH16267A,78
2020,Hyundai,Elantra SE,FWD,30,40,Gasoline,CVT,2.0L I4 16V MPFI DOHC,Quartz White Pearl,Beige,True,5NPD74LF2LH505842,STK505842,79
2020,Bmw,X3 M40i,AWD,21,27,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Phytonic Blue Metallic,Cognac,True,5UXTY9C05L9B66571,35260,80
2019,Volkswagen,Golf R 2.0T w/DCC & Navigation,AWD,23,30,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Indium Gray Metallic,Titan Black,True,WVWVA7AU9KW196789,NUKW196789,81
2018,Land,Rover Range Rover HSE,4WD,17,23,Gasoline,Automatic,V6,Santorini Black,Ebony,True,SALGS2SV6JA511651,511651,82
2019,Mercedes-Benz,S-Class S 560 4MATIC,AWD,17,27,Gasoline,Automatic,4.0L V8 32V GDI DOHC Twin Turbo,Black,White,True,WDDUG8GB3KA462123,AX46637A,83
2018,Bmw,430 Gran Coupe i xDrive,AWD,23,33,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Gray,Coral Red / Black,True,WBA4J3C5XJBL03524,S73,84
2018,Bmw,430 Gran Coupe i xDrive,AWD,23,33,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Gray,Golden Brown,True,WBA4J3C59JBG95575,S75,85
2019,Mercedes-Benz,GLS 450 4MATIC,AWD,16,22,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,Polar White,Ginger,True,4JGDF6EE5KB221930,KB221930,86
2018,Bmw,430 Gran Coupe i xDrive,AWD,23,33,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Blue,Golden Brown,True,WBA4J3C51JBG96574,5874A,87
2011,Lexus,LS 460 Base,AWD,16,23,Gasoline,Automatic,4.6L V8 32V PDI DOHC,Black,Â,True,JTHCL5EF6B5009594,31-4631,88
2016,Gmc,Yukon Denali,4WD,15,21,Gasoline,Automatic,6.2L V8 16V GDI OHV,Black,Black,True,1GKS2CKJ0GR240363,240363,89
2020,Mercedes-Benz,GLB 250 Base,FWD,23,30,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Midnight Black,Black,True,W1N4M4GB0LW026774,8149U,90
2021,Toyota,Camry SE,FWD,28,39,Gasoline,Automatic,2.5L I4 16V PDI DOHC,Black,Black,True,4T1G11AK8MU410766,22549172,91
2018,Ford,Edge Sport,AWD,17,24,Gasoline,Automatic,V6 Cylinder Engine,White Platinum Metallic Tri-Coat,Ebony,False,2FMPK4AP9JBC56175,22407A,92
2019,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Quartz Blue Pearl,Gray,True,JF2GTAEC7KH274123,22904661,93
2020,Dodge,Charger Scat Pack,RWD,15,24,Gasoline,Automatic,6.4L V8 16V MPFI OHV,Frostbite,Â,False,2C3CDXGJ8LH207961,LH207961,94
2020,Dodge,Charger Scat Pack,RWD,15,24,Gasoline,Automatic,6.4L V8 16V MPFI OHV,White Knuckle Clearcoat,Caramel / Black,True,2C3CDXGJ8LH244217,P244217,95
2021,Subaru,Crosstrek Premium,AWD,28,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Yellow Pearl,Black,True,JF2GTAEC0MH310771,M310771,96
2018,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Ice Silver Metallic,Black,True,JF2GTADC1J8283481,22486726,97
2018,Subaru,Crosstrek 2.0i Premium,AWD,27,33,Gasoline,CVT,2.0L H4 16V GDI DOHC,Dark Gray Metallic,Black,True,JF2GTADCXJ8259602,704722T,98
2021,Toyota,4Runner Limited,4WD,16,19,Gasoline,Automatic,4.0L V6 24V MPFI DOHC,Midnight Black Metallic,Redwood,False,JTEKU5JR7M5854429,S18938,99
2016,Ford,F-150,RWD,15,22,Flex Fuel,Automatic,5.0L V8 32V MPFI DOHC Flexible Fuel,Â,Â,True,1FTEW1CF1GKD15379,NR1353A,100
2019,Audi,Q5 2.0T Premium,AWD,22,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Manhattan Gray Metallic,Black,True,WA1ANAFY6K2067955,K2067955,101
2019,Audi,Q5 2.0T Premium,AWD,22,27,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Brilliant Black,Black,True,WA1ANAFY2K2111482,K2111482,102
2012,Audi,A5 2.0T Premium,AWD,21,29,Gasoline,Automatic,2.0L I4 16V GDI DOHC Turbo,Phantom Black Pearl,Black,True,WAULFAFR0CA004388,P004388,103
2015,Lexus,RC F Base,RWD,16,25,Gasoline,Automatic,5.0L V8 32V PDI DOHC,Gray,Â,True,JTHHP5BC3F5001009,JTHHP5BC3F5001009,104
2021,Dodge,Challenger R/T,RWD,15,23,Gasoline,Automatic,5.7L V8 16V MPFI OHV,Burgundy,Gray,True,2C3CDZBT9MH571117,571117,105
2016,Mazda,CX-5 Grand Touring,AWD,24,30,Gasoline,Automatic,2.5L I4 16V GDI DOHC,Jet Black Mica,Black,True,JM3KE4DY2G0845581,61315223,106
2015,Honda,Accord EX-L,FWD,21,34,Gasoline,Automatic,3.5L V6 24V MPFI SOHC,Black,Black,True,1HGCR3F81FA023860,22969872,107
2017,Chevrolet,Camaro 2SS,RWD,16,25,Gasoline,Automatic,6.2L V8 16V GDI OHV,Gray,Adrenaline Red,True,1G1FH1R79H0164103,4103,108
2017,Nissan,Rogue S,AWD,25,32,Gasoline,CVT,2.5L I4 16V MPFI DOHC,Caspian Blue,Gray,True,JN8AT2MV3HW013092,B206593S,109
2019,Toyota,Highlander SE,FWD,21,27,Gasoline,Automatic,3.5L V6 24V PDI DOHC,White,Almond,True,5TDKZRFH5KS564775,UH564775,110
2019,Chevrolet,Cruze LS,FWD,28,38,Gasoline,Automatic,1.4L I4 16V GDI DOHC Turbo,Silver Ice Metallic,Jet Black,True,1G1BC5SM3K7126398,P14931,111
2018,Chevrolet,Traverse Premier,FWD,18,27,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Iridescent Pearl Tricoat,Jet Black,True,1GNERKKW8JJ142933,BP10106,112
2020,Nissan,Murano SV,FWD,20,28,Gasoline,CVT,3.5L V6 24V MPFI DOHC,Deep Blue Pearl,Graphite,True,5N1AZ2BJ0LN117866,RLN117866,113
2019,Bmw,540 i xDrive,AWD,21,29,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Dark Graphite Metallic,Black,True,WBAJE7C54KWD55369,DG3725,114
2021,Volkswagen,Atlas 3.6L SEL Premium,AWD,16,22,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Aurora Red Metallic,Titan Black / Quarzit,True,1V2TR2CA8MC509565,CV27683N,115
2015,Chevrolet,Tahoe LTZ,4WD,16,22,Gasoline,Automatic,5.3L V8 16V GDI OHV,White Diamond Tri-Coat,Cocoa / Dune,True,1GNSKCKC3FR205772,9954A,116
2020,Honda,Civic Sport,FWD,29,37,Gasoline,Automatic,Engine: 2.0L I-4 DOHC 16-Valve i-VTEC,White,Black,True,19XFC2F82LE018716,716,117
2018,Nissan,Rogue SL,AWD,25,32,Gasoline,CVT,2.5L I4 16V MPFI DOHC,Magnetic Black,Â,True,JN8AT2MV2JW325989,N22134A,118
2021,Honda,Pilot Special Edition,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Steel Sapphire Metallic,Gray,True,5FNYF6H27MB096565,BU1447,119
2017,Hyundai,Tucson SE,AWD,21,26,Gasoline,Automatic,2.0L I4 16V GDI DOHC,Molten Silver,Gray,True,KM8J3CA41HU506032,PF1274P,120
2021,Honda,Pilot Special Edition,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Â,Â,True,5FNYF6H27MB096842,366469B,121
2019,Buick,Enclave Essence,FWD,18,26,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Summit White,Shale,True,5GAERBKW8KJ301333,2741811A,122
2019,Buick,Enclave Essence,FWD,18,26,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Ebony Twilight Metallic,Dark Galvanized,True,5GAERBKW6KJ306594,KJ306594,123
2015,Jeep,Wrangler Unlimited Sport,4WD,16,21,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Firecracker Red,Black,True,1C4BJWDGXFL507897,NG217B,124
2020,Buick,Enclave Essence,FWD,18,26,Gasoline,Automatic,3.6L V6 24V GDI DOHC,Satin Steel Metallic,Dark Galvanized,True,5GAERBKW2LJ128894,3667A,125
2018,Bmw,X5 M Base,AWD,14,19,Gasoline,Automatic,4.4L V8 32V GDI DOHC Twin Turbo,Carbon Black Metallic,Aragon Brown,True,5YMKT6C57J0Y83887,BJ0Y83887,126
2021,Genesis,GV80 2.5T,RWD,21,25,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,Himalayan Gray,Black,True,KMUHB4SB1MU051571,DTG9482A,127
2021,Chevrolet,Tahoe Z71,4WD,16,20,Gasoline,Automatic,5.3L V8 16V GDI OHV,Summit White,Black,True,1GNSKPKD0MR360731,MR360731,128
2021,Genesis,GV80 2.5T,AWD,21,25,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,Uyuni White,Black,True,KMUHBDSB8MU037330,X53063,129
2017,Acura,MDX 3.5L w/Advance Package,AWD,19,26,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Gray,Graystone,True,5FRYD4H84HB038044,C17005188,130
2007,Toyota,RAV4 Sport,4WD,21,28,Gasoline,Automatic,3.5L V6 24V MPFI DOHC,Black,Black,True,JTMBK32V875028865,PW24,131
2015,Chevrolet,Suburban 1500 LT,4WD,15,22,Gasoline,Automatic,5.3L V8 16V GDI OHV,Black,Jet Black,True,1GNSKJKC3FR266673,6673,132
2016,Ford,F-150 XLT,4WD,17,23,Gasoline,Automatic,2.7L V6 24V GDI DOHC Twin Turbo,Ingot Silver Metallic,Black,True,1FTEW1EP8GFA44769,22653A,133
2020,Acura,MDX 3.5L w/Technology Package,FWD,20,27,Gasoline,Automatic,3.5L V6 24V GDI SOHC,Modern Steel Metallic,Ebony,True,5J8YD3H53LL008249,PB08249,134
2019,Toyota,Tundra SR5,4WD,13,17,Gasoline,Automatic,5.7L V8 32V MPFI DOHC,Midnight Black Metallic,Black,True,5TFUW5F14KX852827,C23764B,135
2021,Cadillac,Escalade Sport,4WD,14,19,Gasoline,Automatic,6.2L V8 16V GDI OHV,Black,Black,True,1GYS4FKL7MR190429,22818098,136
2020,Chrysler,300 S,RWD,19,30,Gasoline,Automatic,5.7L V8 16V MPFI OHV,Silver Mist Clearcoat,Black,True,2C3CCABT4LH234597,IP001116,137
2021,Chrysler,300 S,RWD,19,30,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,Bright White Clearcoat,Black,True,2C3CCABG4MH549758,08746,138
2018,Honda,Civic LX,FWD,30,39,Gasoline,CVT,2.0L I4 16V MPFI DOHC,Gray,Â,True,2HGFC4B55JH309561,05863A,139
2013,Mercedes-Benz,SL-Class SL 550,RWD,17,25,Gasoline,Automatic,Turbocharged Gas V8 4.6L/285,Diamond White Metallic,Black,True,WDDJK7DAXDF020386,Y028768B,140
2020,Infiniti,QX60 Pure,FWD,20,27,Gasoline,CVT,3.5L V6 24V GDI DOHC,Black Obsidian,Graphite,True,5N1DL0MN2LC532783,532783C01,141
2019,Bmw,X5 xDrive40i,AWD,20,26,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,Phytonic Blue Metallic,Ivory White,False,5UXCR6C52KLL61243,WP49597,142
2020,Infiniti,QX60 Pure,FWD,20,27,Gasoline,CVT,3.5L V6 24V GDI DOHC,Liquid Platinum,Graphite,True,5N1DL0MN9LC533140,533140C01,143
2012,Kia,Sorento SX,AWD,18,24,Gasoline,Automatic,3.5L DOHC dual CVVT 24-valve V6 engine,Titanium Silver,Black,True,5XYKWDA22CG188484,12SORENTO,144
2019,Honda,Civic Sport,FWD,25,36,Gasoline,Manual,4 Cylinder Engine,Lunar Silver Metallic,Â,True,2HGFC2E86KH567017,TP5826,145
2003,Ford,Taurus SES,FWD,20,27,Gasoline,Automatic,3.0L V6 24V MPFI DOHC,Green,Tan,True,1FAHP55S53A107748,14225,146
2020,Lexus,RX 350 Base,AWD,19,26,Gasoline,Automatic,3.5L V6 24V PDI DOHC,Atomic Silver,Black,True,2T2HZMDA5LC257325,N22792A,147
2020,Kia,Sorento LX,FWD,22,29,Gasoline,Automatic,2.4L I4 16V GDI DOHC,Gray,Black,True,5XYPG4A36LG627312,221091B,148
2019,Toyota,Tundra SR5,4WD,14,18,Gasoline,Automatic,4.6L V8 32V MPFI DOHC,Super White,Graphite,False,5TFDM5F12KX080527,KX080527,149
2010,Lexus,LS 460 Base,RWD,16,24,Gasoline,Automatic,4.6L V8 32V PDI DOHC,Black Metallic,Beige,True,JTHBL5EF0A5091803,091803,150
2019,Chevrolet,Silverado 1500 Custom,RWD,16,21,Gasoline,Automatic,4.3L V6 12V GDI OHV,Shadow Gray Metallic,Gideon,True,1GCRWBEH8KZ230805,G535202A,151
2015,Bmw,328 i,RWD,23,35,Gasoline,Automatic,2.0L 4-Cylinder DOHC 16V Turbocharged,White,Brown,True,WBA3A5P54F7S84507,08253,152
2021,Porsche,Macan GTS,AWD,17,22,Gasoline,Automatic,2.9L V6 24V GDI DOHC Twin Turbo,White,Black,False,WP1AG2A59MLB51640,R1972,153
